question_id,question_index,question,option_a,option_b,option_c,option_d,correct_answer,predicted_answer,is_correct,raw_response,timestamp,subject
3ff2f4ae-4e85-475c-9456-223c81930e98,333,"According to scientists, recent studies says about the pattern of enamel prism demineralization, true is:",Head and tail both are resistant to dissolution,Head and tail both are not resistant to dissolution,Head is more resistant to dissolution,Tail is more resistant to dissolution,D,C,0,C,2025-06-08T09:08:54.307265,Dental
73b84afd-bfc4-4fcb-aa45-345d1ef61dfc,334,"In order to reduce non-working side interference, reduce",Maxillary supporting cusp,Mandibular supporting cusp,Both maxillary and mandibular supporting cusps,Either of the jaw’s supporting cusps,D,B,0,B,2025-06-08T09:08:57.862721,Dental
f9c97abd-33dd-4262-b287-42f7bd033097,335,ADA sp. Number fir dental excavating burs:,20,21,22,23,D,A,0,A,2025-06-08T09:08:59.333420,Dental
fd188bc0-c100-44ae-bd1e-ef51e94e6425,336,False about enamel rods is,They are perpendicular to tooth surface,They are parallel to each other,Diameter of enamel rods is 30micrometer at DEJ,Diameter of enamel rod is 5 micrometer at DEJ,C,D,0,D,2025-06-08T09:09:00.742069,Dental
08650ad1-3a19-41f4-a1d6-8e44e6413aca,337,The use of stress breaker in modern dentistry is avoided because,It affects abutment more,It affects alveolar ridge,It affects both abutment and alveolar ridge,None of the above,B,D,0,D,2025-06-08T09:09:02.384807,Dental
2fd85795-3aca-4bd2-b367-256d33655e91,338,Leeway space is due to ?,Space differential between deciduous canine and molar and their succedaneous permanent teeth,Space differential between deciduous incisors and their succedaneous permanent teeth,Difference between deciduous and permanent maxillary and mandibular canines only,Difference between deciduous and permanent maxillary and mandibular molars only,A,A,1,A,2025-06-08T09:09:04.738728,Dental
5c1480fc-941a-40a6-895b-537be91bcadb,339,"In a functional implant, bone loss seen annually after 1 year is:",1.5 to 2 mm,Less than 0.1 mm,1 to 2 mm,1 to 1.5 mm,B,B,1,B,2025-06-08T09:09:07.040606,Dental
fedcc613-e577-40ff-a801-5d57fba1548e,340,Which of the following vaccine is not included in EPI schedule,DPT,MMR,BCG,OPV,B,B,1,B,2025-06-08T09:09:08.910515,Dental
8abb6456-0bb3-4f01-83e4-138e341b3cd1,341,Rake angle for tungsten carbide burs:,Positive.,Neutral.,Slight negative.,Both BC,D,A,0,A,2025-06-08T09:09:10.560365,Dental
01024fa5-94ba-4fa4-b322-6e9733f3553f,342,Dr Bernhard Giesenhagen gave which of the following,Bone ring technique,Bone flap technique,Overlap technique,Bone pouch technique,A,A,1,A,2025-06-08T09:09:12.109082,Dental
99d8d535-2f50-4aeb-8e2e-f798f1aca579,343,Modification spaces are:,Spaces other than the original class,Space posterior to all teeth,Space anterior to all teeth,Additional space in class IV,A,A,1,A,2025-06-08T09:09:14.291834,Dental
e8e4c8af-c2cb-4b44-8865-ff068bdbd6b5,344,Spiral angle can be defined as:,Angle between long axis and blade.,Angle between long axis and cutting edge.,Angle formed by the blades.,All are same.,A,B,0,B,2025-06-08T09:09:16.309964,Dental
39dea240-7448-438e-a215-545b98c8ef65,345,Vestibuloplasty all are true except:,Mucosal advancement,Use of hydroxyapatite,Secondary epithelialization,Usage of epithelial grafts,B,B,1,B,2025-06-08T09:09:17.954258,Dental
f51955a7-38a2-41d5-8124-a372b3d2c787,346,Following metal alloy held in reducing hardness of orthodontic wires?,Chromium,Cobalt,Silicon,Carbon,B,B,1,B,2025-06-08T09:09:20.501693,Dental
09fb16da-a86a-48f7-8e1b-c1b81a6c358d,347,Fixation period of intrusive luxation injury is?,2 weeks,4 weeks,"4 weeks, if semi-rigid & 2 weeks, if rigid",6-8 weeks,B,D,0,D,2025-06-08T09:09:22.742226,Dental
120b8b88-ef18-4c63-a24e-370065a02f25,348,EDTA does not cause which of the following action,Chelating action,Irrigation,Remove smear layer,Pulp fixation,D,D,1,D,2025-06-08T09:09:25.166551,Dental
8ae6489e-0c86-48c8-92cf-3819348fc472,349,Premaxilla is derived from,Maxillary protuberance,Palatine bones,Frontonasal process,Median process,C,C,1,C,2025-06-08T09:09:26.775529,Dental
22c33272-9d2f-4f91-9999-74e84b057914,350,If periodontal surgery is necessary in case of horizontal bone toss in upper anterior region. Which of the following procedure is the most appropriate?,Papilla preservation flap,Widman flap,Coronally displaced flap,Gingivectomy,A,A,1,A,2025-06-08T09:09:28.413069,Dental
5010a343-a5a4-420b-956f-38a811821ad4,351,Which of the following condition must be met for a valid student-t test between means of two groups:,Number of observation must be same - no,Standard deviation must be approximately same - no,Mean should be approximately same - no,Sample must be small,D,D,1,D,2025-06-08T09:09:30.558191,Dental
22384629-7dc2-4890-a69e-42dc71fbccfe,352,What type of fibers are principal fibers of the PDL?,Elastic,Reticular,Collagenous,Collagenous and elastic,C,C,1,C,2025-06-08T09:09:33.125910,Dental
2e7a8a2b-fa7c-4e90-a4fc-f9eb44674379,353,Injecting dye for diagnosis of salivary gland,Angiogram,Sialography,Angiogram,Tomography,B,B,1,B,2025-06-08T09:09:35.899796,Dental
a4d559cf-a0bb-4eab-9cd6-023fceb916ad,354,Which growth factor Is not present in PRP?,PDGF aa,PDGF bb,PDGF cc,PDGF Fab,C,D,0,D,2025-06-08T09:09:37.667575,Dental
d4f6fc8c-f415-4619-9831-8da71140bbac,355,Zones of periapical pathology were described by:,Palmer,Fish,Black,Hugues,B,C,0,C,2025-06-08T09:09:39.316507,Dental
c43e91d9-b41d-480c-a1f2-2fe9eee2bcab,356,Cholesterol crystals in apical periodontitis lesions are believed to be formed from cholesterol released by:,Disintegrating erythrocytes of stagnant blood vessels within the lesion,"Lymphocyte, plasma cells, macrophages that die and disintegrate in chronic apical lesion",Circulating plasma lipids,All of the above,D,A,0,A,2025-06-08T09:09:41.017613,Dental
c0b79a36-0b9f-4aa3-b3ac-4435c4a92fe3,357,The analytical study where population is the unit of study is,Cross-sectional,Ecological,Case-control,Cohort study,B,B,1,B,2025-06-08T09:09:43.688781,Dental
9cda8aff-7c42-4c13-af2f-48282d65dbae,358,What % is the incidence of vertucci type 8,6%,10%,2%,12%,A,C,0,C,2025-06-08T09:09:45.639103,Dental
79f62df5-e7d6-4526-9866-59ba4c498cfc,359,In Mandibular 1st molar smallest cusp is,Distobuccal,Distal,Mesiobuccal,Mesial,B,A,0,A,2025-06-08T09:09:47.701789,Dental
0bfdb9f1-4000-4e4f-bab7-6858195faf99,360,"In a village, despite of health education for oral cancer, people don't follow instructions even after referral with persuasive reminders, people are still reluctant. It best fits under which model:",Trans-theoretical model,Health belief model,Social compliance,Public health model,A,B,0,B,2025-06-08T09:09:49.193785,Dental
1d4c9da4-408d-482a-8b33-ca36b97b0bf5,361,Dimensional stability of elastomeric impression material can be given in descending order as :,Polysulphide > Polyether > Condensation silicone > Addition silicone,Polyether > Condensation silicone > Polysulphide > Addition silicone,Addition silicone > Polyether > Polysulphide > Condensation silicone,Addition silicone > Condensation silicone Polysulphide > Polyether,C,D,0,D,2025-06-08T09:09:50.984830,Dental
cb67fe1b-fdf5-4478-b16b-7c0fdf4be59b,362,Indirect retainers are situated:,As far anteriorly from the fulcrum line,As close to the fulcrum line,At the canine region,At the mesial marginal ridge of the premolars in the class I case,A,B,0,B,2025-06-08T09:09:52.527344,Dental
778778c6-fec1-4d24-a0f2-31d7ac7ee4c8,363,Which of the following is a 3-D curve:,Curve of spee.,Anti monsoon curve.,Monsoon curve..,None.,C,A,0,A,2025-06-08T09:09:54.230472,Dental
3c4ad2aa-1bff-4d56-9cea-358bfcf0eec7,364,Amalgam restorations give the best clinical service when the residual mercury content is:,38-42%,48-52%,58-62%,68-72%,B,B,1,B,2025-06-08T09:09:56.102801,Dental
cf9b1f6c-4594-4cc8-94bb-3b1c10be80f9,365,The anteroposterior curve is,Curve of Spee,Curve of Wilson,Curve of Monson,Bonwill's curve,A,B,0,B,2025-06-08T09:09:58.466859,Dental
3ef21987-3285-429c-a8be-5f67efefaaf8,366,Which periodontal fibres are consistent and are reconstructed even after the destruction of the alveolar bone?,Apical,Alveolar crest group,Oblique,Transseptal,D,D,1,D,2025-06-08T09:10:00.769297,Dental
98035f50-53b3-47c8-b340-392237162fb2,367,Condensation reaction occurs in,Agar,Alginate,Polysulfide,ZOE,C,D,0,D,2025-06-08T09:10:02.773476,Dental
bb61654e-f671-4125-bad2-3f2dc2eec24b,368,The function of 2% potassium sulphate in a gypsum product is:,To regulate the setting expansion,Regulate setting time,Acts as retarder,None,B,C,0,C,2025-06-08T09:10:04.724957,Dental
e6972a14-563b-47df-b6f4-ceb004b37b95,369,All of the following are true for ZOE based sealer except?,Expands on setting & hence provide impervious seal,Absorb if extruded periapically,"Antibacterial, so prevent entombing of Bacterial","Slow setting, so results in increased inflammation initially",A,A,1,A,2025-06-08T09:10:06.701575,Dental
5951aa74-d30c-4c33-b1e6-dd5e5d103ca0,370,Maximum amount of phosphate is seen in,Bone,Enamel,Gingiva,Dentine,B,A,0,A,2025-06-08T09:10:08.143329,Dental
32a5b512-866e-4bd6-b9b5-9c26c7625705,371,"The effectiveness of condensing porcelain powder to
reduce shrinkage is determined by",Shape and size of the particle,Thickness of the platinum matrix,Speed of increase of furnace heat,Using powder of same particle size,A,A,1,A,2025-06-08T09:10:09.723318,Dental
9a29cd2c-e0d3-4d1e-82a7-32af10b47c9b,372,Highest concentration of desmosomes are seen in which location?,A,B,C,D,B,C,0,C,2025-06-08T09:10:11.818938,Dental
47efd329-c1b4-49eb-8318-1cf2174b9ad9,373,Water content in enamel by volume,2-3%,6-7%,20-25%,10-12%,B,A,0,A,2025-06-08T09:10:13.426306,Dental
b0b54bca-bd14-47e5-ac75-b6fa6469ff65,374,The community periodontal index of treatment needs is recorded for:,Quadrants,Sextants,One arch,Whole dentition,B,B,1,B,2025-06-08T09:10:14.967609,Dental
42a4b6d8-f4d9-4613-a31e-1a7dff4a3bab,375,According to psychosexual theory development of personality and skills occurs:,Anal stage.,Phallic stage.,Latency stage.,Genital stage.,C,D,0,D,2025-06-08T09:10:17.238556,Dental
5cfbf418-71b5-46c6-bc7a-d15cfee99283,376,Which of the local anesthetic agent can be given in liver failure cases?,Articaine,Lignocaine,Bupivacaine,Benzocaine,D,A,0,A,2025-06-08T09:10:19.195429,Dental
eab9d801-7f73-4ea9-92e9-2c7077db5e14,377,Which of the following clasp is preferable on a partially erupted tooth for adequate retention of removable orthodontic appliance?,Circumferential clasp,Adams clasp,Jacksons clasp,South end clasp,B,B,1,B,2025-06-08T09:10:20.835526,Dental
9ca1d8a1-131f-4ed9-9ba6-e2fd8ed9e09d,378,"For posterior abutment with acceptable crown root ratios, average crown length, normal esthetic requirement, retainer of choice is:",Full crown,Partial veneer crown,Resin veneer,PFM,B,A,0,A,2025-06-08T09:10:22.405243,Dental
e85a3e86-3c85-4691-ba5e-81189bae3d3d,379,"A patient is involved in chronic mouth breathing, the clinical examination of the patient reveals","Convex profile, long face, narrow arches","Concave profile, Long face, broad arches","Convex profile, short face, broad arches","Concave profile, short face, narrow arches",A,A,1,A,2025-06-08T09:10:24.429429,Dental
fdcb0022-449b-48e5-93b5-d9cd1813ed7b,380,Majority of oral microorganisms are:,Strict anaerobes,Gram-positive bacilli,Spirochetes,Facultative anaerobes,D,A,0,A,2025-06-08T09:10:26.629179,Dental
61e943fb-b106-4e28-9639-4d6a46cd53ee,381,Insufficient closure of the flasks during packing of denture base resin can result in:,Poor colour stability,Less polymerization shrinkage,Increase in vertical dimension,Decrease in vertical dimension,C,D,0,D,2025-06-08T09:10:28.121556,Dental
109040fb-d75a-40a0-a2de-e77b0e7a64fe,382,Which is a true association:,Lichen planus and malignant melanoma,Melasma and malignant melanoma,Psoriasis and metabolic syndrome,Vitiligo and metabolic syndrome,C,C,1,C,2025-06-08T09:10:30.290088,Dental
2dd66c3e-9b8c-421e-818b-5770ed270bfe,383,Dental plaque adheres to the tooth because:,Levans are gummy,Dextrans are insoluble and sticky,Plaque grows into the irregularities,Microorganisms produce sticky lipoproteins,B,C,0,C,2025-06-08T09:10:32.381652,Dental
3cf954d4-ea8b-4c75-b70d-2e86af595b9c,384,Arestin is:,2% minocycline,1% minocycline,0.5% minocycline,0.1% minocycline,A,B,0,B,2025-06-08T09:10:34.256440,Dental
c54d9bde-0f32-4f38-a236-875013438ba9,385,Increased VDO results in,Strained facial appearance,Trauma to underlying tissues,Clicking of teeth,All of the above,D,D,1,D,2025-06-08T09:10:36.001297,Dental
026d473e-9f24-45f9-8a98-43045be5c30e,386,Average Diameter of Apical foramen in an 18-25 years old adult is,400 micrometer,502 micrometer,681 micrometer,602 micrometer,B,A,0,A,2025-06-08T09:10:37.709073,Dental
c16a9d6e-5e30-4209-94b1-1f9e8444c9c9,387,Bakers anchorage is a type of:,Intramaxillary anchorage,Intermaxillary anchorage,Extraoral anchorage,Muscular anchorage,B,C,0,C,2025-06-08T09:10:39.498994,Dental
0d75a2e6-67c5-46d4-a888-3912e99ee80f,388,"In 1921, school dental nurse was started in",Adelaide,Wellington,New cross,Connecticut,B,A,0,A,2025-06-08T09:10:41.180369,Dental
239b31b9-74b7-49f5-b753-693ebb451e33,389,The proximal walls of a class II cavity on a deciduous molar:,Follow directions of enamel rods,Converge toward occlusal surface,Diverge toward occlusal surface,Undermine enamel which is very thin,B,A,0,A,2025-06-08T09:10:42.874561,Dental
cda050a3-e395-412f-8291-6159a9b67cb4,390,Single central pit is formed on the occlusal surface of,Lower 1st premolar,Upper 1st premolar,Lower 2nd premolar,Upper 2nd premolar,C,D,0,D,2025-06-08T09:10:44.449657,Dental
46b0b982-5809-4e21-a3d7-9f7872fdd13b,391,Lateral shift (Bennett's movement) influences:,Faciolingual position of teeth,Mesiodistal position of the teeth,Both of the above,None of the above,A,A,1,A,2025-06-08T09:10:46.153515,Dental
6b388442-3d94-4203-903b-a1f4e1e0be7e,392,For a loose complete denture relining and rebasing can be done in which of the following condition,Excessive alveolar bone loss,When centric relation and centric occlusion do not coincide,The patient is poor and cannot afford new denture,More than 2mm loss of alveolar bone height,C,C,1,C,2025-06-08T09:10:47.641155,Dental
a98a35a9-a1c5-4d03-9049-96a1b8f60789,393,Odontoblastic layer’s cell size:,Directly depends on no. of dentinal tubules,Tall columnar in crown,Squamous in apical portion,All of the above,D,B,0,B,2025-06-08T09:10:49.249399,Dental
1e6d84fb-a062-4394-803a-d7466fc8cd83,394,"Percentage of Phosphoric acid where Dicalcium phosphate
monohydrate is formed that cannot be rinsed off.",25%,37%,50%,85%,A,B,0,B,2025-06-08T09:10:50.776540,Dental
89dc8003-fb16-432a-9da3-4d8464ca9ab8,395,Preferred haemostatic agents for perforation repair include all except?,Freeze dried bone,Calcium Hydroxide,Ferric Sulphate,Collagen,C,A,0,A,2025-06-08T09:10:52.483866,Dental
76eb0208-23fa-422d-aa0b-c4d5ec0fc3b5,396,"In the intercuspal position, the lingual cusp of
maxillary 2nd premolar contacts the:",Distal fossa of mandibular 2nd premolar,Mesial fossa of mandibular 1st molar,Distal marginal ridge of mandibular 2nd molar,Distal marginal ridge of mandibular 1st premolar,A,A,1,A,2025-06-08T09:10:54.272322,Dental
bf221348-de3d-4d97-ad8e-eb42f7361518,397,"When it is made up of same steel, size 55, which will be more prone to fracture:",Triangular reamer,Rhomboid cross section file,Square cross section file,Headstrom file,D,D,1,D,2025-06-08T09:10:56.352608,Dental
1abe8eca-d5a3-4e0a-841c-3dc4de337ca1,398,Which of the following is true about master apical file?,The last file which is selected for the obturation,The initial file which is selected for initial radiographic working length,The smaller file used in between the other file during biomechanical preparation,The last file which is used for removal of soft debris from root canal,A,A,1,A,2025-06-08T09:10:58.194803,Dental
a4b5e737-c930-4108-ab83-ea8881ab12ee,399,Figure depicts:,Balanced force technique,Anticurvature filing,Standarized technique,None,B,D,0,D,2025-06-08T09:11:00.154283,Dental
47f3d905-57f2-47d1-b710-b40e20b635a2,400,"In sleep apnea syndrome, AHI Index for mild sleep apnea is",>5,>15,>10,>30,A,C,0,C,2025-06-08T09:11:02.354621,Dental
0c21fc49-e165-4117-a139-d87a85f435f9,401,Which of the following is non parametric test,Pearson correlation,ANOVA,Mann whitney test,Student t test,C,C,1,C,2025-06-08T09:11:05.362440,Dental
4facde08-e9dc-4bb1-b89b-74f09e84be19,402,Marginal bone loss around mandibular implant depends on all except,Abutment,Boning technique,Connector,Implant fixture,B,B,1,B,2025-06-08T09:11:08.198851,Dental
515aa26e-2c4f-41f8-9039-cc2f96a04eaa,403,Size of apical foramen,Remain constant,Increases with age,Decreases with age,May increase or decrease with age,B,D,0,D,2025-06-08T09:11:10.146421,Dental
702667ab-e933-48db-91f6-f8c8a663a266,404,In order to have balance in hand instrument:,Blade edge should be within 2 mm of the axis of handle,Blade edge should be within 2 mm of the axis of shank,Blade edge should be within 2.5 mm of the axis of handle,Blade edge should be within 2.5 mm of the axis of shank,A,A,1,A,2025-06-08T09:11:11.890097,Dental
9cb14715-ed8b-45e0-b388-1f03f960f83c,405,In facial porcelain inlay what should be kept in mind?,Facial surface should be perpendicular to cavity margins,Facial surface should converge to cavity margins,Facial surface should be parallel to cavity margins,Axial wall is 2.5 mm deeper than normal,A,B,0,B,2025-06-08T09:11:14.086200,Dental
be69c330-1008-4f75-bca3-3e1658c02f39,406,Rapid tooth separation works on following principle:,Wedge principle.,Traction principle.,Both of the above.,None.,C,A,0,A,2025-06-08T09:11:15.783559,Dental
f40f1f7b-aa8c-48f9-9113-bee957ad2af7,407,Method of increasing attached gingiva,Apical flap,Widman flap,Undisplaced flap,Modified widman flap,A,A,1,A,2025-06-08T09:11:17.275515,Dental
bfd5b74e-0d0c-4c69-9a3c-b700bd269d40,408,Which of the following Universal pro-taper re-treatment file has end cutting tip?,D1,D2,D3,All of the above,A,A,1,A,2025-06-08T09:11:19.464142,Dental
e9474805-33d3-4db9-a0dd-a7171bd262a6,409,"Type of cry, which is not a cry at all, there are no tears, no sobs, just a constant whining noise:",Obstinate cry.,Frighten cry.,Hurt cry.,Compensatory cry.,D,D,1,D,2025-06-08T09:11:21.026422,Dental
1249ef54-9d9b-42ee-a5c6-839ef6597dd9,410,CHX mouthwash daily use till 2 week for streptococcus mutanus is effective for:,14-18 weeks,12-14 weeks,12-16 weeks,12-26 weeks,D,D,1,D,2025-06-08T09:11:22.623789,Dental
57bf31fd-4f69-45e9-adad-7c22447a402c,411,Which of the following can lead to uncontrolled bleeding during oral prophylaxis,Patient on Heparin,Patient on Nifedipine,Patient on phenytoin,None of the above,A,A,1,A,2025-06-08T09:11:24.614253,Dental
1f3afb93-e68d-43c5-aa8f-a9e070b441d3,412,Obturation with gutta-percha cones is indicated in primary teeth only when:,Canals are too wide,Successor is missing,Canals are very long but straight,When stainless steel crown recommended,A,B,0,B,2025-06-08T09:11:26.355123,Dental
3df42ac7-0771-4a64-b29f-5bbe7674218c,413,D1 bone found mainly in which site?,Anterior maxilla,Anterior mandible,Posterior mandible,Posterior maxilla,B,B,1,B,2025-06-08T09:11:28.127475,Dental
51250c61-30fe-47d0-b5cf-e9ce5abcac6e,414,Cross-sectional studies are carried on,Same individuals but of same age,Different individuals but of same age groups,Same individuals at different ages,Different individuals of different age groups,D,B,0,B,2025-06-08T09:11:29.606020,Dental
84eaeeea-b14f-45ec-9879-be2d6337fa81,415,Palatal secretions affect the setting of all the impression materials except:,Silicone,Agar-agar,Impression paste,Impression plaster,B,A,0,A,2025-06-08T09:11:31.122537,Dental
62eef71a-8a02-417f-be29-d32ae8f55d41,416,Advantage of the submarginal falp for periradicular surgery is?,Crestal bone less,Bleeding lees,Gingival shrinking less,Flap closure easy,A,C,0,C,2025-06-08T09:11:32.690204,Dental
700240f4-b59e-4dcb-a1c1-0d082a4b9643,417,99.73 variation involves how many SD?,1,2,3,4,C,B,0,B,2025-06-08T09:11:34.660352,Dental
30b2fee8-1ce3-4f84-ad72-f20e7b53a24b,418,The best way to remove a hydrocolloid impression from the patient's mouth is:,Slight rocking of the impression to disengage it from the undercut,Wetting the periphery of the impression with moist cotton to break the peripheral seal,Sudden jerking of the impression to prevent tearing,Supporting the impression along with the tray to prevent disengaging of the tray alone,C,A,0,A,2025-06-08T09:11:36.263527,Dental
0919bffa-ea11-4e1f-9139-4c20fcd1a394,419,Which of the following is not used for making indirect wax pattern?,Ivory wax,Modeling wax,Utility wax,Inlay wax,C,C,1,C,2025-06-08T09:11:37.807668,Dental
f8254ff6-37fa-4669-a994-f922cd33d123,420,Most suitable pontic for maxillary posterior area,Trupontic or long pin pontic,Sanitary pontic,Flat back pontic with porcelain facing,Pin facing pontic,A,B,0,B,2025-06-08T09:11:39.390183,Dental
5e905c89-34eb-4755-83ea-dceb91cb9c81,421,"In fixed orthodontic treatment, how much force is needed for intrusion of four mandibular anterior teeth:",50 gm,100gm,150gm,200gm,A,B,0,B,2025-06-08T09:11:40.948791,Dental
baf1db57-4ba1-4730-ae61-be7c5ae948d0,422,Multi constricted apical constriction is seen in which type of Dummer’s classification,Type 1,Type 2,Type 3,Type 4,C,C,1,C,2025-06-08T09:11:42.553984,Dental
7aa761ec-d49e-4c4f-a0e7-fd161f5ebfe5,423,In which of the following areas is the alveolar process the thinnest:,Lingual to the maxillary central incisors,Buccal to the mandibular central incisors,Lingual to the maxillary canines,Lingual to the mandibular first molar,B,A,0,A,2025-06-08T09:11:44.096350,Dental
7d5f80d0-63d3-4f8e-874a-34fe661c9a4d,424,Acid neutralizing substance in saliva,NH3,Carbonate,Bicarbonate,Chlorides,C,C,1,C,2025-06-08T09:11:45.700678,Dental
bfc36be7-2c7f-40eb-93ee-8ac75f1e92b1,425,Method for slow tooth separation:,Use of 26 gauge spring wire around proximal contacts,Use of soft brass wire around contacts,Use of oversized resin,All of the above,D,A,0,A,2025-06-08T09:11:47.658434,Dental
438f8342-aae4-4631-8487-30b2c595c5d8,426,Resolution of IOPA radiograph is?,16 lp,22 lp,30 lp,10 lp,A,A,1,A,2025-06-08T09:11:49.338460,Dental
d7bd1cec-6327-4552-8135-3544fa7c8d0f,427,A radiograph is shown below. This type of root morphology has highest incidence in which population?,African,Caucasians,Mongoloids,Asians,D,D,1,D,2025-06-08T09:11:51.496082,Dental
25a045ae-9cab-40c2-aaae-d890d4015eae,428,HTR polymer is,Polyether,Polytmethymethacrylate,Silica,Hydroxyapatite,B,B,1,B,2025-06-08T09:11:52.977837,Dental
71c2cf6f-b8ca-479b-ba07-3d9162d10c2c,429,Gingival Recession is most common due to,Tooth brush trauma,TFO,Deflective contacts,ANUG,A,A,1,A,2025-06-08T09:11:54.591747,Dental
90d508fa-01fd-4b1f-811e-6fc4a0df7054,430,Which of the following prevents fracture of MO amalgam:,Beveling of axiopulpal line angle,Occlusal dovetails,Pin retained amalgam,Removal of unsupported enamel rods,A,A,1,A,2025-06-08T09:11:56.184666,Dental
77826b16-999f-4fed-ac12-3e522df8e7e1,431,Which of the following is least sensitive to radiation exposure,Bone,Hematopoietic tissue,Nerve,Muscle,C,D,0,D,2025-06-08T09:11:58.359466,Dental
b498fd89-b328-485f-a133-9aacf026f48f,432,Which of the following least resemble permanent tooth?,Incisor,Canine,Mandibular 1st Molar,Mandibular 2nd Molar,C,A,0,A,2025-06-08T09:11:59.865865,Dental
688f4d7d-b164-4f08-8f2b-020f30ef306d,433,Looseness seen in a recently delivered RPD is due to:,Defective occlusal balancing,Passive clasp on abutment,Thin flange,Insufficient overlap on posterior teeth,A,A,1,A,2025-06-08T09:12:01.294700,Dental
418ea8f5-7225-4daa-9fa7-2cf9724b9a8b,434,A patient reported with Disto-oclusal amalgam restoration in 47 & complaints of sticking of food in interproximal area. Most common reason is?,Broad contact area Buccolingually,Wide contact area occlugingivaly,Contact area too occlusively,Contact area too gingivally,D,A,0,A,2025-06-08T09:12:02.968725,Dental
7632fe2d-10d0-45a3-bea1-09b1b8226e12,435,Patient with complete denture complains of pain while swallowing and there is overextension in the distolingual aspect. The muscle involved is:,Superior constrictor,Palatopharyngeus,Palatoglossus,Styloharyngeus,A,B,0,B,2025-06-08T09:12:05.067829,Dental
abd507d7-232c-46cb-8605-cb573b86ee2b,436,Study model with mounted base and trimmed height is:,55 mm,70 mm,60 mm,90 mm,B,C,0,C,2025-06-08T09:12:07.215771,Dental
e0c3fa32-b170-46e4-a748-9965e38ca3a9,437,Electric resistance between oral mucosa and PDL is always constant that is:,4.5 K ohm,5.5 K ohm,6.5 K ohm,7.5 K ohm,C,A,0,A,2025-06-08T09:12:09.260157,Dental
908f179d-9296-4cc3-8cd5-d3e59e24d232,438,The undesirable side effect most commonly associated with the use of finger spring to tip the crown of a tooth is:,Pain,Gingival irritation,Tendency for the root apex to move in the direction opposite from the crown,Tendency for the tooth to intrude,C,B,0,B,2025-06-08T09:12:10.791770,Dental
57f646bb-fbf5-489b-9991-dcb361be9561,439,Process shown in color plate is:,Bleeding on probing.,Bone sounding.,Pocket measurement,Attached ginigiva measurement,B,C,0,C,2025-06-08T09:12:12.526666,Dental
05ae5b1d-15cd-4035-99a7-d6cae3e4909e,440,The biofilms found on tooth surfaces are termed as:,Enamel,Dental caries,Dental plaque,Saliva,C,C,1,C,2025-06-08T09:12:15.643215,Dental
879e2943-db7e-483e-a957-e998960ec66a,441,Mouth Breathing is most commonly seen in:,Athetoid type of cerebral palsy.,Spastic type of cerebral palsy.,Ataxic type of cerebral palsy.,Mixed type.,A,B,0,B,2025-06-08T09:12:17.781446,Dental
2803b85b-0acd-42a6-92f5-6f5b3ce60345,442,Dunlop's beta hypothesis is useful for the treatment of:,Bruxism.,Thumb sucking.,Mouth breathing.,Tongue thrusting.,B,A,0,A,2025-06-08T09:12:20.389932,Dental
1920da28-e234-4f1e-8a02-8eb426ca5478,443,Function of molybdenum in base metal alloys,Increases strength,Decreases strength,Increase CTP.,Decrease corrosion resistance,A,A,1,A,2025-06-08T09:12:21.966131,Dental
0c32cd85-9912-4116-86ce-d65b19a77be9,444,Vaccine for caries is based on which immunoglobulin,IgG,IgA,IgE,IgM,B,B,1,B,2025-06-08T09:12:24.130544,Dental
3ee700bc-5cac-4228-b0a2-5164512b90e4,445,As we move from anterior to posterior gingival embrasure become,Smaller,Larger,Remain same,Can be any of the above,A,B,0,B,2025-06-08T09:12:25.557471,Dental
a8779992-ade2-4a9c-a9bd-d405b92cc010,446,What % collagen fibers and fibroblasts are present In gingival connective tissue,60% & 5%,65% & 5%,60%& 10%,65%& 10%,A,A,1,A,2025-06-08T09:12:27.693635,Dental
82c284b8-4feb-4984-8e9a-cc7a37be517c,447,All of the following about use of aerotor hand piece are false except:,The sound frequency greater than 75 decibel (dB) causes damage to the ear,The frequency of rotation of bur is 6000-8000rpm,It will harm more in elderly than very young,Its use in younger teeth is contraindicated.,A,A,1,A,2025-06-08T09:12:29.342909,Dental
ea8146aa-0e1a-470c-b22d-b784002fb499,448,Which of the following kit has been designed & preferred specially for removal of fibre reinforced composite post?,Ruddle post removal system,Gonion kit,Gyro kit,JS extractor kit,C,A,0,A,2025-06-08T09:12:31.283111,Dental
2b776323-df34-4cab-ad74-e9d4e8c4e128,449,Distance of the blade from the shank to have antirotational stability of the instrument?,2 mm,3 mm,4 mm,5 mm,A,B,0,B,2025-06-08T09:12:33.888937,Dental
985566bc-67a2-4f42-8bc5-4bd8bfc84bab,450,The procedure preferred for periodontal surgery in mandibular anterior teeth is,Gingivectomy,Periodontal flap,Subgingival curettage,Grafting,B,B,1,B,2025-06-08T09:12:35.659029,Dental
864f7a5a-6c9f-454e-9d33-291e3652f5e5,451,Most common organism responsible for acute apical abscess:,Trepenoma denticola,Dilaster invisus,E. faecalis,All of the above,A,C,0,C,2025-06-08T09:12:37.626834,Dental
44b7c270-47c9-4f1a-9414-5ebedefd7f0e,452,Indirect retention is designed to,Stabilize tooth borne RPD,Engage an undercut area of the abutment tooth,Resist tissue ward movement of an extension base partial denture,Resist dislodgement of an extension base partial denture in occlusal direction,D,B,0,B,2025-06-08T09:12:39.146283,Dental
